1.kolo;;22.03.2024
Washington Capitals;11:3;Boston Bruins
Philadelphia Flyers;12:0;Buffalo Sabres
Ottawa Senators;1:8;New York Rangers
New York Islanders;6:2;Florida Panthers
Montreal Canadiens;1:4;New Jersey Devils
Columbus Blue Jackets;5:4;Tampa Bay Lightning
Toronto Maple Leafs;3:4;Carolina Hurricanes

2.kolo;;23.03.2024
Boston Bruins;:;Philadelphia Flyers
New York Rangers;7:3;Washington Capitals
Buffalo Sabres;0:6;New York Islanders
New Jersey Devils;7:4;Ottawa Senators
Florida Panthers;3:4sn;Columbus Blue Jackets
Carolina Hurricanes;3:1;Montreal Canadiens
Tampa Bay Lightning;4:2;Toronto Maple Leafs

3.kolo;;24.03.2024
New York Rangers;5:1;Boston Bruins
New York Islanders;4:2;Philadelphia Flyers
Washington Capitals;2:3;New Jersey Devils
Columbus Blue Jackets;10:0;Buffalo Sabres
Ottawa Senators;0:12;Carolina Hurricanes
Toronto Maple Leafs;6:2;Florida Panthers
Montreal Canadiens;0:7;Tampa Bay Lightning

4.kolo;;30.03.2024
Boston Bruins;2:9;New York Islanders
New Jersey Devils;3:2;New York Rangers
Philadelphia Flyers;5:4pr;Columbus Blue Jackets
Carolina Hurricanes;16:0;Washington Capitals
Buffalo Sabres;0:11;Toronto Maple Leafs
Tampa Bay Lightning;9:1;Ottawa Senators
Florida Panthers;1:2;Montreal Canadiens

5.kolo;;31.03.2024
New Jersey Devils;9:5;Boston Bruins
Columbus Blue Jackets;9:3;New York Islanders
New York Rangers;1:3;Carolina Hurricanes
Toronto Maple Leafs;6:2;Philadelphia Flyers
Washington Capitals;2:4;Tampa Bay Lightning
Montreal Canadiens;11:0;Buffalo Sabres
Ottawa Senators;3:12;Florida Panthers

6.kolo;;06.04.2024
Boston Bruins;0:8;Columbus Blue Jackets
Carolina Hurricanes;4:1;New Jersey Devils
New York Islanders;8:4;Toronto Maple Leafs
Tampa Bay Lightning;1:6;New York Rangers
Philadelphia Flyers;1:0;Montreal Canadiens
Florida Panthers;3:4sn;Washington Capitals
Buffalo Sabres;3:4sn;Ottawa Senators

7.kolo;;07.04.2024
Carolina Hurricanes;12:0;Boston Bruins
Toronto Maple Leafs;5:4;Columbus Blue Jackets
New Jersey Devils;1:3;Tampa Bay Lightning
Montreal Canadiens;5:8;New York Islanders
New York Rangers;8:0;Florida Panthers
Ottawa Senators;1:16;Philadelphia Flyers
Washington Capitals;9:1;Buffalo Sabres

8.kolo;;13.04.2024
Boston Bruins;1:6;Toronto Maple Leafs
Tampa Bay Lightning;4:5pp;Carolina Hurricanes
Columbus Blue Jackets;7:0;Montreal Canadiens
Florida Panthers;2:6;New Jersey Devils
New York Islanders;13:0;Ottawa Senators
Buffalo Sabres;0:3;New York Rangers
Philadelphia Flyers;9:5;Washington Capitals

9.kolo;;14.04.2024
Tampa Bay Lightning;9:1;Boston Bruins
Montreal Canadiens;3:2;Toronto Maple Leafs
Carolina Hurricanes;3:6;Florida Panthers
Ottawa Senators;0:8;Columbus Blue Jackets
New Jersey Devils;6:0;Buffalo Sabres
Washington Capitals;5:6;New York Islanders
New York Rangers;4:1;Philadelphia Flyers

10.kolo;;20.04.2024
Boston Bruins;4:3sn;Montreal Canadiens
Florida Panthers;5:4sn;Tampa Bay Lightning
Toronto Maple Leafs;8:1;Ottawa Senators
Buffalo Sabres;0:8;Carolina Hurricanes
Columbus Blue Jackets;5:2;Washington Capitals
Philadelphia Flyers;1:2sn;New Jersey Devils
New York Islanders;6:8;New York Rangers

11.kolo;;21.04.2024
Florida Panthers;5:1;Boston Bruins
Ottawa Senators;0:9;Montreal Canadiens
Tampa Bay Lightning;10:1;Buffalo Sabres
Washington Capitals;2:3;Toronto Maple Leafs
Carolina Hurricanes;7:6;Philadelphia Flyers
New York Rangers;3:5;Columbus Blue Jackets
New Jersey Devils;4:7;New York Islanders

12.kolo;;27.04.2024
Boston Bruins;8:1;Ottawa Senators
Buffalo Sabres;0:3;Florida Panthers
Montreal Canadiens;5:3;Washington Capitals
Philadelphia Flyers;2:4;Tampa Bay Lightning
Toronto Maple Leafs;3:9;New York Rangers
New York Islanders;4:12;Carolina Hurricanes
Columbus Blue Jackets;4:2;New Jersey Devils

13.kolo;;28.04.2024
Buffalo Sabres;2:5;Boston Bruins
Washington Capitals;:;Ottawa Senators
Florida Panthers;0:5;Philadelphia Flyers
New York Rangers;6:1;Montreal Canadiens
Tampa Bay Lightning;2:3pr;New York Islanders
New Jersey Devils;5:2;Toronto Maple Leafs
Carolina Hurricanes;2:6;Columbus Blue Jackets
