1.kolo;;22.03.2024
Vegas Golden Knights;5:0;Arizona Coyotes
Vancouver Canucks;4:3;Chicago Blackhawks
Dallas Stars;1:0;San Jose Sharks
Los Angeles Kings;7:4;Minnesota Wild
Nashville Predators;0:12;Edmonton Oilers
Calgary Flames;7:2;St. Louis Blues
Winnipeg Jets;1:3;Anaheim Ducks

2.kolo;;23.03.2024
Arizona Coyotes;1:6;Vancouver Canucks
San Jose Sharks;1:4;Vegas Golden Knights
Chicago Blackhawks;4:3;Los Angeles Kings
Edmonton Oilers;8:0;Dallas Stars
Minnesota Wild;1:4;Calgary Flames
Anaheim Ducks;15:0;Nashville Predators
St. Louis Blues;2:3;Winnipeg Jets

3.kolo;;24.03.2024
San Jose Sharks;1:6;Arizona Coyotes
Los Angeles Kings;2:1sn;Vancouver Canucks
Vegas Golden Knights;6:2;Edmonton Oilers
Calgary Flames;3:2;Chicago Blackhawks
Dallas Stars;0:3;Anaheim Ducks
Winnipeg Jets;2:6;Minnesota Wild
Nashville Predators;0:15;St. Louis Blues

4.kolo;;30.03.2024
Arizona Coyotes;3:5;Los Angeles Kings
Edmonton Oilers;9:0;San Jose Sharks
Vancouver Canucks;2:3;Calgary Flames
Anaheim Ducks;1:7;Vegas Golden Knights
Chicago Blackhawks;5:1;Winnipeg Jets
St. Louis Blues;:;Dallas Stars
Minnesota Wild;18:0;Nashville Predators

5.kolo;;31.03.2024
Edmonton Oilers;2:3pr;Arizona Coyotes
Calgary Flames;5:2;Los Angeles Kings
San Jose Sharks;1:13;Anaheim Ducks
Winnipeg Jets;1:2;Vancouver Canucks
Vegas Golden Knights;5:2;St. Louis Blues
Nashville Predators;0:18;Chicago Blackhawks
Dallas Stars;:;Minnesota Wild

6.kolo;;06.04.2024
Arizona Coyotes;0:6;Calgary Flames
Anaheim Ducks;3:1;Edmonton Oilers
Los Angeles Kings;6:2;Winnipeg Jets
St. Louis Blues;6:0;San Jose Sharks
Vancouver Canucks;18:0;Nashville Predators
Minnesota Wild;3:4;Vegas Golden Knights
Chicago Blackhawks;11:0;Dallas Stars

7.kolo;;07.04.2024
Anaheim Ducks;6:2;Arizona Coyotes
Winnipeg Jets;1:8;Calgary Flames
Edmonton Oilers;2:1;St. Louis Blues
Nashville Predators;0:15;Los Angeles Kings
San Jose Sharks;1:5;Minnesota Wild
Dallas Stars;0:11;Vancouver Canucks
Vegas Golden Knights;5:4sn;Chicago Blackhawks

8.kolo;;13.04.2024
Arizona Coyotes;0:1;Winnipeg Jets
St. Louis Blues;4:2;Anaheim Ducks
Calgary Flames;15:0;Nashville Predators
Minnesota Wild;5:1;Edmonton Oilers
Los Angeles Kings;15:0;Dallas Stars
Chicago Blackhawks;11:0;San Jose Sharks
Vancouver Canucks;4:2;Vegas Golden Knights

9.kolo;;14.04.2024
St. Louis Blues;3:4;Arizona Coyotes
Nashville Predators;0:8;Winnipeg Jets
Anaheim Ducks;1:6;Minnesota Wild
Dallas Stars;0:14;Calgary Flames
Edmonton Oilers;1:5;Chicago Blackhawks
Vegas Golden Knights;3:5;Los Angeles Kings
San Jose Sharks;0:14;Vancouver Canucks

10.kolo;;20.04.2024
Arizona Coyotes;13:0;Nashville Predators
Minnesota Wild;8:0;St. Louis Blues
Winnipeg Jets;6:0;Dallas Stars
Chicago Blackhawks;5:1;Anaheim Ducks
Calgary Flames;7:3;Vegas Golden Knights
Vancouver Canucks;1:2sn;Edmonton Oilers
Los Angeles Kings;9:2;San Jose Sharks

11.kolo;;21.04.2024
Minnesota Wild;2:0;Arizona Coyotes
Dallas Stars;5:1;Nashville Predators
St. Louis Blues;2:8;Chicago Blackhawks
Vegas Golden Knights;3:0;Winnipeg Jets
Anaheim Ducks;2:1pr;Vancouver Canucks
San Jose Sharks;0:9;Calgary Flames
Edmonton Oilers;3:6;Los Angeles Kings

12.kolo;;27.04.2024
Arizona Coyotes;3:0;Dallas Stars
Chicago Blackhawks;11:4;Minnesota Wild
Nashville Predators;2:8;Vegas Golden Knights
Vancouver Canucks;7:6;St. Louis Blues
Winnipeg Jets;10:0;San Jose Sharks
Los Angeles Kings;5:3;Anaheim Ducks
Calgary Flames;10:0;Edmonton Oilers

13.kolo;;28.04.2024
Chicago Blackhawks;6:2;Arizona Coyotes
Vegas Golden Knights;12:0;Dallas Stars
Minnesota Wild;1:6;Vancouver Canucks
San Jose Sharks;0:7;Nashville Predators
St. Louis Blues;3:2;Los Angeles Kings
Edmonton Oilers;2:5;Winnipeg Jets
Anaheim Ducks;4:6;Calgary Flames
